HR,Tblood,SpO2,Pulse,NBP,etCO2,awRR
,0,0,0,0,0,0
,0,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,0,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,0,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,0,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
0,0,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,0,0
,0,0,0,0,0,0
,,0,0,0,0,0
0,0,0,0,0,0,0
,,0,0,0,0,0
0,0,0,0,0,0,0
,,0,0,0,0,0
,0,,0,0,49,0
,,0,0,0,49,0
,,0,0,0,0,0
,,0,0,0,0,0
,,0,0,0,45,0
0,0,0,0,0,35,0
122,0,0,0,0,35,0
123,0,0,0,0,35,49
123,0,0,0,0,35,49
124,,0,0,0,35,49
124,0,0,0,0,32,0
123,0,0,0,0,32,49
123,0,0,0,0,32,0
122,,87,0,0,33,0
122,0,87,0,0,33,0
122,33,87,0,0,33,0
122,,,87,0,33,0
123,0,88,0,0,32,0
123,0,88,0,0,32,0
124,0,88,0,0,32,0
124,,,88,0,33,0
124,33,,88,0,33,0
124,,,0,0,33,0
123,33,,88,0,33,0
123,0,88,0,0,32,0
122,0,0,0,0,32,0
122,0,,89,0,,32
121,,,89,0,34,0
120,,0,0,0,34,0
120,,87,0,0,34,0
120,,87,0,0,34,0
120,,0,0,0,32,0
120,0,87,0,0,32,0
121,0,87,0,0,32,46
121,,0,0,0,36,0
122,0,87,0,0,36,0
122,,87,0,0,36,0
122,,0,0,0,36,0
123,,88,0,0,34,0
123,,88,0,0,34,45
123,,0,0,0,34,0
123,0,87,0,0,32,0
123,0,87,0,0,32,0
123,0,0,0,0,32,0
122,0,87,0,0,32,0
122,0,89,0,0,36,0
121,0,0,0,0,36,0
121,0,89,0,0,36,0
120,,89,0,0,34,0
120,,0,0,0,34,0
120,,89,0,0,34,0
121,,89,0,0,34,0
122,,,0,0,34,0
122,,88,0,0,34,0
123,,88,0,0,34,0
123,0,0,0,0,35,0
122,,88,0,0,35,0
122,,87,0,0,35,48
121,,0,0,0,35,0
120,,87,0,0,36,49
120,,87,0,0,36,49
120,,0,0,0,36,0
120,,87,0,0,35,0
121,0,,87,0,35,0
121,,,0,0,35,0
121,0,88,0,0,35,0
121,,88,0,0,34,0
122,,0,0,0,34,0
121,,88,0,0,34,0
121,,89,0,0,35,0
121,,0,0,0,35,0
121,0,89,0,0,35,0
121,0,,89,0,35,0
121,0,,0,0,35,0
121,0,89,0,0,35,0
121,0,89,0,0,35,0
122,,0,0,0,34,0
122,,,87,0,34,0
123,,87,0,0,34,0
123,,0,0,0,34,0
123,,87,0,0,35,0
123,,,88,0,35,0
123,,,0,0,35,0
122,0,,88,0,36,0
122,0,88,0,0,36,0
121,0,0,0,0,36,0
121,0,,89,0,36,0
121,0,,89,0,35,45
121,0,0,0,0,35,0
121,,89,0,0,35,0
120,,89,0,0,35,0
120,0,0,0,0,35,0
120,,,89,0,35,47
120,,,88,0,35,47
120,,,0,0,34,0
120,,88,0,0,34,47
120,0,,88,0,,34
120,0,,0,0,35,0
121,0,,88,0,35,0
122,0,,88,0,35,0
122,0,,0,0,,35
122,33,,88,0,33,45
123,33,,88,0,33,0
122,,0,0,0,33,0
122,0,88,0,0,34,46
122,0,88,0,0,34,0
121,0,0,0,0,,34
121,0,88,0,0,34,0
121,0,88,0,0,36,0
120,0,,0,0,36,0
120,0,87,0,0,,36
120,,87,0,0,,34
120,,0,0,0,34,0
120,,87,0,0,34,0
120,,87,0,0,34,45
120,,,0,0,34,0
121,,,87,0,,34
122,,,88,0,,34
123,0,,0,0,,33
124,0,,88,0,,33
125,33,88,0,0,,33
125,,0,0,0,33,0
125,0,,88,0,35,0
125,0,,88,0,35,0
125,0,,0,0,35,0
125,0,89,0,0,36,0
124,0,89,0,0,36,0
124,0,0,0,0,36,0
124,,89,0,0,36,0
123,,87,0,0,,33
123,333,,0,0,33,0
122,33,,87,0,33,0
122,0,87,0,0,35,45
122,0,0,0,0,35,0
122,0,87,0,0,35,0
122,0,87,0,0,35,45
122,,0,0,0,33,0
123,,88,0,0,33,49
123,,88,0,0,33,49
123,,0,0,0,33,0
123,33,88,0,0,33,40
123,33,87,0,0,33,49
122,0,0,0,0,33,0
122,0,87,0,0,32,0
121,0,87,0,0,32,0
120,,0,0,0,32,0
120,,,89,0,34,0
120,,89,0,0,34,45
120,,0,0,0,34,0
120,,,89,0,34,0
120,0,,89,0,35,0
120,0,0,0,0,35,0
119,,,89,0,35,0
119,,,88,0,34,0
119,,0,0,0,34,0
119,,88,0,0,34,0
119,,88,0,0,34,0
119,,0,0,0,34,0
119,0,87,0,0,34,40
120,,87,0,0,34,48
120,,0,0,0,35,0
120,,87,0,0,35,48
121,,87,0,0,35,0
121,0,0,0,0,35,0
121,,87,0,0,34,0
122,0,88,0,0,34,0
122,,,0,0,34,0
122,,,88,0,34,0
122,,,88,0,34,0
122,,,0,0,34,0
122,0,0,0,0,34,0
122,0,89,0,0,32,0
124,,0,0,0,32,0
124,0,,89,0,32,0
124,0,89,0,0,36,0
124,0,0,0,0,36,0
124,0,,89,0,36,0
123,0,87,0,0,36,47
123,,,0,0,33,0
123,3,87,0,0,33,47
122,,87,0,0,33,47
122,0,,88,0,35,0
122,,,88,0,35,7
122,,88,0,0,35,0
122,,0,0,0,35,0
122,001,89,0,0,33,0
122,0,,89,0,33,0
122,0,,0,0,33,0
123,,89,0,0,35,49
123,,,89,0,35,49
123,,,0,0,35,0
123,,89,0,0,35,49
122,,89,0,0,34,0
122,,0,0,0,34,0
121,,88,0,0,,34
121,,88,0,0,,34
120,,0,0,0,34,0
120,,88,0,0,34,0
120,,88,0,0,34,0
120,,,0,0,35,0
120,,88,0,0,35,0
121,0,88,0,0,35,45
122,,0,0,0,35,0
122,0,88,0,0,35,47
123,,88,0,0,35,47
124,0,0,0,0,35,0
124,0,0,0,0,33,0
124,,88,0,0,33,0
125,33,0,0,0,33,0
125,0,87,0,0,32,0
125,0,87,0,0,32,0
125,0,0,0,0,32,0
126,,0,0,0,34,0
126,,87,0,0,34,40
126,,87,0,0,34,49
126,0,0,0,0,32,0
126,,87,0,0,32,49
126,0,0,0,0,32,0
126,0,,88,0,32,0
125,0,,88,0,32,0
125,,0,0,0,35,0
125,,88,0,0,35,0
125,0,88,0,0,,32
124,0,0,0,0,32,0
124,0,,88,0,32,0
124,,,89,0,32,45
123,,0,0,0,32,0
123,,89,0,0,35,0
122,0,89,0,0,35,47
121,0,0,0,0,35,0
121,0,87,0,0,32,47
121,0,87,0,0,32,47
121,0,0,0,0,,
121,0,,87,0,,32
122,33,87,0,0,33,0
122,33,0,0,0,,33
121,33,87,0,0,,33
121,0,88,0,0,,34
120,,,0,0,,
120,,88,0,0,,
120,,88,0,0,,34
121,0,0,0,0,32,0
122,0,87,0,0,32,47
122,0,,87,0,,32
123,0,0,0,0,36,0
123,,,89,0,36,0
124,0,89,0,0,36,0
123,0,,0,0,36,0
123,,,89,0,,36
123,0,89,0,0,,36
123,,,0,0,36,0
123,,,89,0,34,49
124,0,,89,0,,34
124,,,0,0,,34
124,,,88,0,34,0
124,,,88,0,36,45
124,0,,0,0,,36
123,0,87,0,0,36,0
122,,,87,0,,36
122,,,0,0,,36
122,0,87,0,0,,36
122,0,87,0,0,,36
123,,,0,0,,33
123,33,,87,0,33,0
124,,,87,0,,33
124,,,0,0,,34
124,,,88,0,,34
124,0,,88,0,34,49
124,,0,0,0,,34
123,0,0,0,0,33,49
123,,0,0,0,,33
123,,0,0,0,33,0
122,0,91,0,0,35,49
122,0,91,0,0,35,45
122,,0,0,0,35,0
122,0,91,0,0,35,0
122,0,91,0,0,,35
123,,,0,0,,35
123,,89,0,0,35,0
123,,89,0,0,35,0
124,0,,0,0,35,0
124,0,,90,0,35,0
123,0,,90,0,35,47
123,0,,0,0,32,0
123,,90,0,0,32,47
123,,0,0,0,32,47
124,0,0,0,0,35,0
124,0,0,0,0,35,47
124,,0,0,0,35,0
124,,,0,0,35,0
124,0,891,0,0,35,0
124,0,891,0,0,35,0
124,0,0,0,0,35,0
123,,,90,0,34,0
123,,90,0,0,34,46
123,0,0,0,0,34,0
123,,90,0,0,34,46
123,0,90,0,0,33,47
123,0,0,0,0,33,0
123,33,90,0,0,33,47
123,,,90,0,33,47
123,,0,0,0,33,0
123,33,90,0,0,33,47
124,33,90,0,0,33,0
124,0,0,0,0,36,0
124,0,90,0,0,36,0
124,0,90,0,0,36,45
124,0,0,0,0,36,0
124,,90,0,0,36,0
124,0,89,0,0,36,0
124,0,0,0,0,36,0
124,0,89,0,0,34,45
123,,89,0,0,34,49
123,,0,0,0,34,0
122,,,89,0,34,49
121,,,89,0,34,49
121,,,0,0,34,0
120,,,90,0,34,49
120,,,90,0,34,0
120,,,0,0,34,0
120,,,90,0,34,0
121,0,,90,0,35,45
122,,,0,0,35,0
122,,,90,0,35,0
123,,,90,0,35,0
123,,,0,0,33,0
124,33,,91,0,33,0
124,33,,0,0,33,0
124,33,0,0,0,33,0
124,33,89,0,0,33,0
124,,89,0,0,33,0
124,,,0,0,33,0
124,,89,0,0,33,0
124,,89,0,0,33,0
124,,0,0,0,33,0
124,0,89,0,0,33,0
123,33,89,0,0,33,0
123,33,0,0,0,33,0
122,33,,90,0,33,0
121,,,90,0,34,46
121,,0,0,0,34,0
121,,,89,0,34,0
121,0,89,0,0,32,0
122,0,0,0,0,32,0
123,,,89,0,32,0
124,,0,0,0,32,0
124,0,0,0,0,36,0
124,0,0,0,0,36,0
124,0,0,0,0,36,0
125,0,,0,0,35,0
124,,0,0,0,35,0
124,0,0,0,0,35,0
123,,,0,0,35,0
123,,,90,0,33,45
122,0,,90,0,33,45
121,,007770777777,0,0,33,0
121,0,90,0,0,34,0
120,,89,0,0,34,49
120,,0,0,0,34,0
120,,89,0,0,34,49
